2026-06-05 00:42:06.037 | INFO     | services.vector_store_service:build_vector_store:93 - Indexed 8 chunks into collection 'pipeline_4ef45419eab2' using model 'all-MiniLM-L6-v2'
2026-06-05 00:42:06.037 | INFO     | services.rag_service:build_pipeline_for_config:212 - Built optimization pipeline 4ef45419eab2 (chunk=256, k=3, model=all-MiniLM-L6-v2)
2026-06-05 00:42:06.037 | INFO     | services.evaluation_service:collect_rag_outputs_parallel:101 - Collecting 3 answers in parallel (workers=3)...
2026-06-05 00:42:06.047 | INFO     | services.vector_store_service:load_vector_store:132 - Loaded vector store for pipeline '4ef45419eab2'
2026-06-05 00:42:06.050 | INFO     | services.vector_store_service:load_vector_store:132 - Loaded vector store for pipeline '4ef45419eab2'
2026-06-05 00:42:06.054 | INFO     | services.vector_store_service:load_vector_store:132 - Loaded vector store for pipeline '4ef45419eab2'
2026-06-05 00:43:03.494 | INFO     | services.evaluation_service:run_ragas_evaluation:129 - Running RAGAS on 3 questions (all 5 metrics in parallel)...
2026-06-05 00:43:03.764 | INFO     | services.evaluation_service:run_ragas_evaluation:129 - Running RAGAS on 3 questions (all 5 metrics in parallel)...
2026-06-05 00:45:06.737 | INFO     | services.evaluation_service:run_ragas_evaluation:204 - RAGAS complete — Score: 38.6/100 Grade F | F:0.33 AR:0.28 CR:0.33 CP:0.67 AC:0.64
2026-06-05 00:45:06.738 | INFO     | services.vector_store_service:get_embeddings:42 - Loading embedding model: all-mpnet-base-v2
2026-06-05 00:45:09.400 | INFO     | services.vector_store_service:get_embeddings:48 - Embedding model loaded: all-mpnet-base-v2
2026-06-05 00:45:09.708 | INFO     | services.vector_store_service:build_vector_store:93 - Indexed 8 chunks into collection 'pipeline_861b9c6c7b65' using model 'all-mpnet-base-v2'
2026-06-05 00:45:09.708 | INFO     | services.rag_service:build_pipeline_for_config:212 - Built optimization pipeline 861b9c6c7b65 (chunk=256, k=3, model=all-mpnet-base-v2)
2026-06-05 00:45:09.709 | INFO     | services.evaluation_service:collect_rag_outputs_parallel:101 - Collecting 3 answers in parallel (workers=3)...
2026-06-05 00:45:09.715 | INFO     | services.vector_store_service:load_vector_store:132 - Loaded vector store for pipeline '861b9c6c7b65'
2026-06-05 00:45:09.717 | INFO     | services.vector_store_service:load_vector_store:132 - Loaded vector store for pipeline '861b9c6c7b65'
2026-06-05 00:45:09.717 | INFO     | services.vector_store_service:load_vector_store:132 - Loaded vector store for pipeline '861b9c6c7b65'
2026-06-05 00:46:04.543 | INFO     | services.evaluation_service:run_ragas_evaluation:129 - Running RAGAS on 3 questions (all 5 metrics in parallel)...
2026-06-05 00:47:37.044 | INFO     | services.evaluation_service:run_ragas_evaluation:204 - RAGAS complete — Score: 33.6/100 Grade F | F:0.00 AR:0.67 CR:0.33 CP:0.43 AC:0.67
2026-06-05 00:49:08.855 | INFO     | services.evaluation_service:run_ragas_evaluation:204 - RAGAS complete — Score: 87.2/100 Grade B | F:1.00 AR:0.62 CR:1.00 CP:0.83 AC:0.77
2026-06-05 00:49:09.032 | INFO     | services.vector_store_service:build_vector_store:93 - Indexed 8 chunks into collection 'pipeline_a14d69c552f5' using model 'all-MiniLM-L6-v2'
2026-06-05 00:49:09.034 | INFO     | services.rag_service:build_pipeline_for_config:212 - Built optimization pipeline a14d69c552f5 (chunk=256, k=5, model=all-MiniLM-L6-v2)
2026-06-05 00:49:09.034 | INFO     | services.evaluation_service:collect_rag_outputs_parallel:101 - Collecting 3 answers in parallel (workers=3)...
2026-06-05 00:49:09.044 | INFO     | services.vector_store_service:load_vector_store:132 - Loaded vector store for pipeline 'a14d69c552f5'
2026-06-05 00:49:09.046 | INFO     | services.vector_store_service:load_vector_store:132 - Loaded vector store for pipeline 'a14d69c552f5'
2026-06-05 00:49:09.052 | INFO     | services.vector_store_service:load_vector_store:132 - Loaded vector store for pipeline 'a14d69c552f5'
2026-06-05 00:50:03.533 | INFO     | services.evaluation_service:run_ragas_evaluation:129 - Running RAGAS on 3 questions (all 5 metrics in parallel)...
2026-06-05 00:54:05.914 | INFO     | services.evaluation_service:run_ragas_evaluation:204 - RAGAS complete — Score: 74.4/100 Grade C | F:0.50 AR:0.92 CR:0.83 CP:0.78 AC:0.74
2026-06-05 00:54:06.269 | INFO     | services.vector_store_service:build_vector_store:93 - Indexed 8 chunks into collection 'pipeline_f79515a7fc6e' using model 'all-mpnet-base-v2'
2026-06-05 00:54:06.269 | INFO     | services.rag_service:build_pipeline_for_config:212 - Built optimization pipeline f79515a7fc6e (chunk=256, k=5, model=all-mpnet-base-v2)
2026-06-05 00:54:06.271 | INFO     | services.evaluation_service:collect_rag_outputs_parallel:101 - Collecting 3 answers in parallel (workers=3)...
2026-06-05 00:54:06.281 | INFO     | services.vector_store_service:load_vector_store:132 - Loaded vector store for pipeline 'f79515a7fc6e'
2026-06-05 00:54:06.283 | INFO     | services.vector_store_service:load_vector_store:132 - Loaded vector store for pipeline 'f79515a7fc6e'
